year	month	infl1	infl2	infl3	infl4
1	1989	1	83.2	11	11	83.2
2	1989	2	70.3	7.9	19.8	76.2
3	1989	3	74.2	8.1	29.4	75.5
4	1989	4	77.8	9.8	42.1	76.1
5	1989	5	85.4	7.2	52.3	78.2
6	1989	6	91.3	6.1	61.6	80.7
7	1989	7	103.9	9.5	77.1	84.4
8	1989	8	182.7	39.5	147	98.1
9	1989	9	269.2	34.4	231.6	119.6
10	1989	10	457.1	54.8	413.2	158.1
11	1989	11	557	22.4	528.2	200.3
12	1989	12	639.6	17.7	639.6	251.1
13	1990	1	1007.6	79.6	79.6	1007.6
14	1990	2	1183.1	23.8	122.5	1098.3
15	1990	3	1132.8	4.3	132	1110.7
16	1990	4	1102.9	7.5	149.4	1108.5
17	1990	5	1076.5	4.6	160.9	1101.1
18	1990	6	1051.2	3.4	169.8	1091.2
19	1990	7	994	3.6	179.5	1074
20	1990	8	748.5	1.8	184.6	1012.6
21	1990	9	558	4.6	197.7	920.4
22	1990	10	356	5.7	214.6	787.1
23	1990	11	285.9	4.9	230	673.6
24	1990	12	249.3	5.9	249.3	585.8
25	1991	1	94.9	12.7	12.7	94.9
26	1991	2	80	6.7	20.3	86.9
27	1991	3	81.8	4.5	25.7	85.1
28	1991	4	71	2.7	29.1	81.1
29	1991	5	67.8	2.7	32.6	78
30	1991	6	72.4	4.9	39	77.1
31	1991	7	68.3	0.1	39.1	75.6
32	1991	8	67.6	0.6	40	74.5
33	1991	9	67.1	4.3	46	73.6
34	1991	10	64.8	3.2	50.7	72.5
35	1991	11	62.7	3.2	55.5	71.4
36	1991	12	60.4	3.1	60.4	70.3
37	1992	1	45.4	7.5	7.5	45.4
38	1992	2	40.1	1.8	9.4	42.7
39	1992	3	38.1	2	11.6	41.1
40	1992	4	40.2	3.7	15.7	40.8
41	1992	5	43.2	4	20.4	41.3
42	1992	6	39	1.6	22.4	40.9
43	1992	7	41.3	1.4	24	41
44	1992	8	44.3	2.7	27.4	41.4
45	1992	9	46.5	5.3	34.1	42
46	1992	10	46.4	3	38.1	42.5
47	1992	11	45.4	2.3	41.2	42.8
48	1992	12	44.3	2.2	44.3	43
49	1993	1	37.5	4.1	4.1	37.5
50	1993	2	39.7	3.4	7.6	38.6
51	1993	3	39.7	2.1	9.9	39
52	1993	4	38.1	2.3	12.4	38.7
53	1993	5	35.8	1.8	14.5	38.1
54	1993	6	34.3	1.4	16	37.4
55	1993	7	34.8	1.1	17.3	37
56	1993	8	34.4	2.3	20	36.7
57	1993	9	31	2.5	23	36
58	1993	10	29.8	1.9	25.3	35.3
59	1993	11	33	4	30.4	35
60	1993	12	37.6	5.6	37.6	35.3
61	1994	1	32.4	1.8	1.8	32.4
62	1994	2	29.9	1.1	2.9	31.1
63	1994	3	30.2	2	5	30.8
64	1994	4	31.2	2.9	8	30.9
65	1994	5	31.2	1.7	9.9	31
66	1994	6	32.7	2.3	12.4	31.3
67	1994	7	32.8	1.5	14.1	31.5
68	1994	8	32.2	1.7	16	31.6
69	1994	9	34.6	4.5	21.3	32
70	1994	10	36.1	2.9	24.8	32.4
71	1994	11	33.5	1.8	27.1	32.5
72	1994	12	29.5	1.9	29.5	32.2
73	1995	1	32.3	4.1	4.1	32.3
74	1995	2	33.6	2.1	6.3	33
75	1995	3	33.1	1.7	8	33
76	1995	4	32.4	2.3	10.5	32.9
77	1995	5	32.3	1.8	12.5	32.8
78	1995	6	30.3	1	13.6	32.3
79	1995	7	27.6	-0.9	12.5	31.6
80	1995	8	25.7	0.4	12.9	30.8
81	1995	9	24.2	3	16.3	30
82	1995	10	22.4	1.8	18.3	29.2
83	1995	11	22	1.3	19.8	28.4
84	1995	12	21.6	1.5	21.6	27.8
85	1996	1	21	3.4	3.4	21
86	1996	2	20.4	1.5	5	20.7
87	1996	3	20.4	1.5	6.6	20.6
88	1996	4	20.3	2.2	8.9	20.5
89	1996	5	19.8	1.4	10.3	20.4
90	1996	6	19.5	1	11.4	20.2
91	1996	7	20.4	-0.1	11.3	20.2
92	1996	8	20.5	0.5	11.9	20.3
93	1996	9	19.5	1.9	14	20.2
94	1996	10	19.5	1.4	15.5	20.1
95	1996	11	19.1	1.3	17.1	20
96	1996	12	18.5	1.3	18.5	19.9
97	1997	1	17.8	2.9	2.9	17.8
98	1997	2	17.3	1.1	4	17.6
99	1997	3	16.6	0.8	4.9	17.2
100	1997	4	15.3	1	5.9	16.7
101	1997	5	14.6	0.6	6.6	16.3
102	1997	6	15.3	1.5	8.2	16.1
103	1997	7	14.9	-0.2	8	15.9
104	1997	8	14.5	0.1	8.1	15.8
105	1997	9	13.6	1.4	9.5	15.5
106	1997	10	13.1	1.1	10.8	15.3
107	1997	11	13.2	1.2	12.1	15.1
108	1997	12	13.2	1	13.2	14.9
109	1998	1	13.6	3.1	3.1	13.6
110	1998	2	14.2	1.7	4.9	13.9
